Street Address,Neighborhood,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
17 SUMNER RD,6,143-5,143,5,5907,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1127729013 42.3763118787)
65 RICE ST,11,192-107,192,107,3750,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.13006518210001 42.3943080532)
4 ELLERY SQ,6,135-128,135,128,825,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1092761295 42.3722799386)
45 STEARNS ST,9,205-12,205,12,3169,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1302004141 42.385968677600005)
798 MASSACHUSETTS AVE,7,119-23,119,23,13060,930,Government,Government Operations,0,,,,,City NonTax,POINT (-71.106444632 42.366574516)
8 GLADSTONE ST,11,186-36,186,36,3400,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1348760057 42.4012016838)
99-101 CUSHING ST,13,254-16,254,16,7500,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1516585562 42.3776536785)
14-16 STORY ST,10,168-25,168,25,6400,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1225075334 42.3737219732)
253 CAMBRIDGE ST,1,21-12,21,12,1014,0104,Residential Ground Floor Comm,MXD TWO-FAM-RES,2,groundfloor,,,,,POINT (-71.0801671234 42.3712378322)
43 WASHBURN AVE,11,184-40,184,40,4693,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1310465329 42.3999285526)
803 CAMBRIDGE ST,3,36-124,36,124,8478,112,Residential,>8-UNIT-APT,14,,,,,,POINT (-71.0902419841 42.3726144201)
1 WOOD ST,9,204-130,204,130,2979,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1291175987 42.3872194375)
17 SAVILLE ST,10,230-94,230,94,7524,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1340805784 42.3832555599)
80 INMAN ST,6,109-33,109,33,3222,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1019389392 42.3710884673)
33 TIERNEY ST,9,229-30,229,30,3149,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1306263851 42.3839158767)
153-153 ERIE ST,5,94-207,94,207,1920,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1065935894 42.3596590457)
80 FAYETTE ST,6,114A-15,114A,15,1865,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1021507943 42.3735702873)
9 SACRAMENTO ST,8,155-29,155,29,42370,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.1178257811 42.3831405987)
200 HURLEY ST,1,17-8,17,8,2850,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0809697935 42.3682180158)
14 UNION ST,4,77-82,77,82,1310,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.09553142110002 42.3690708438)
198 RIVER ST,5,125-88,125,88,2727,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,6,groundfloor,,,,,POINT (-71.1104634017 42.3630972131)
36 FRESH POND PKWY,10,247-83,247,83,7703,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.141621634 42.3769711559)
12 FAYETTE ST,6,114-4,114,4,8768,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1037822763 42.3714736933)
155 FIFTH ST,1,26-141,26,141,2174,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.08407053 42.3684111923)
26 CLARENDON AVE,11,184-23,184,23,2397,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1318105774 42.3998653832)
18 GRANT ST,7,132-137,132,137,69984,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1163226253 42.3694205004)
1642 MASSACHUSETTS AVE,9,173-65,173,65,2701,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.120062081 42.3811903735)
194 NORFOLK ST,4,86-73,86,73,3639,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0985583188 42.3688382843)
357 COLUMBIA ST,3,80-12,80,12,3450,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0954300857 42.3717787738)
65 MUSEUM ST,8,149-62,149,62,2111,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1131988064 42.3810461497)
138 WESTERN AVE,7,125-40,125,40,2520,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1085729517 42.3647182981)
15A TREMONT ST,4,87-110,87,110,3850,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.099688921 42.3697338095)
14 HUBBARD PARK RD,10,222-16,222,16,25470,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1318044812 42.3765376778)
14 RICE ST,11,196-13,196,13,4366,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.128276282 42.3949114652)
26 RIVER ST,5,105-119,105,119,2128,0105,Residential Ground Floor Comm,MXD THREE-FM-RE,3,groundfloor,,,,,POINT (-71.1057452467 42.3647334999)
11 LOPEZ ST,5,94-82,94,82,2410,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1043575401 42.3614612573)
35 LAWN ST,13,256-96,256,96,4035,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.153476614 42.377904285700005)
336 RINDGE AVE,11,268B-15,268B,15,9700,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1375269665 42.3936295894)
1156-1162 MASSACHUSETTS AVE,7,133-20,133,20,2817,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.1146428085 42.3712473796)
13 MEACHAM RD,11,183-111,183,111,1735,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1267896049 42.3958041136)
371 CAMBRIDGE ST,1,23-128,23,128,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0821693369 42.3715600101)
37 GROZIER RD,10,247-151,247,151,6109,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1413360871 42.3786063666)
38 FAIRMONT ST,5,127-128,127,128,1800,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1112269504 42.3617801095)
8-10 MADISON AVE,11,188-41,188,41,8800,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.13638601520002 42.3999120767)
25 LAWN ST,13,256-94,256,94,5360,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1530561031 42.3779230513)
51 COGSWELL AVE,11,199-156,199,156,2768,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1262074748 42.3897423048)
335 FRANKLIN ST,7,119-56,119,56,23256,112,Residential,>8-UNIT-APT,40,,,,,,POINT (-71.1074556108 42.3661441465)
48 SEVENTH ST,1,34-58,34,58,2360,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.0853978313 42.3714002791)
77 WALDEN ST,9,202-29,202,29,5700,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1256643395 42.3885135584)
18 PORTER RD,11,178-35,178,35,2347,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1204850435 42.3888973986)
142 DUDLEY ST,11,193-190,193,190,3308,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1348212271 42.3955465049)
222-224 CHESTNUT ST,5,100-30,100,30,5413,111,Residential,4-8-UNIT-APT,5,,,,true,,POINT (-71.1128199649 42.358693534)
50 ROBERTS RD,6,141-99,141,99,1952,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1079861089 42.3775698425)
9 CEDAR ST,11,191-40,191,40,1497,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1310302391 42.3971096553)
5 CHETWYND RD,9,205-80,205,80,3465,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1284598172 42.3862034368)
192 FAYERWEATHER ST,9,262-129,262,129,4001,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.13424839230001 42.3852532079)
152 LARCH RD,10,249-53,249,53,5618,101,Residential,SNGL-FAM-RES,2,,,,,,POINT (-71.1436664749 42.37983927740001)
17 MILLER AVE,11,180-19,180,19,2552,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.120670223 42.3926243396)
36 BRISTOL ST,3,40-22,40,22,4260,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0923000488 42.3679973835)
23 HUNTING ST,3,36-13,36,13,4410,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.09117567570001 42.373419566)
126 HANCOCK ST,6,117-88,117,88,1342,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1072185216 42.369509368)
1 PORTER PK,11,178-64,178,64,2037,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1208157836 42.3894525767)
1R-3R ALEWIFE BROOK PKWY,11,269-135,269,135,913211,3922,Vacant,CRMCL REC LND,0,,,,,,POINT (-71.1393299661 42.3950781239)
20 HIGHLAND AVE,6,112-142,112,142,6564,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1060981005 42.3721586927)
27 FRONT ST,4,70-60,70,60,5000,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.0975624061 42.3621372334)
118 WEBSTER AVE,3,78-146,78,146,2016,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0934379305 42.369405938)
76 GARFIELD ST,8,155-11,155,11,6600,112,Residential,>8-UNIT-APT,9,,,,true,,POINT (-71.116537332 42.383441663400006)
24 COTTAGE ST,5,103-52,103,52,4220,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1066464183 42.3628742456)
14 LANCASTER ST,9,176-58,176,58,11205,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1204387786 42.3854008101)
21 ALPINE ST,10,260-69,260,69,5040,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1384464678 42.3841587344)
15 JAMES WAY,3,39-162,39,162,3550,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0886997944 42.3700798006)
765 CONCORD AVE,12,267D-340,267D,340,78209,940,Education,Private Pre & Elem School,0,,,,,Educ NonTax,POINT (-71.1542794264 42.3913899359)
195 ALEWIFE BROOK PKWY,12,265B-57,265B,57,11327,337,Transportation,PARKING-LOT,0,,,,,,POINT (-71.142588974 42.390786448200004)
451 HURON AVE,10,248-61,248,61,5000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1417961524 42.3808287528)
73 FAYERWEATHER ST,10,236-72,236,72,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1377073635 42.380891527)
28 ARLINGTON ST,9,176-51,176,51,8014,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1217960319 42.386049407)
14 RICHARD AVE,11,186-71,186,71,4591,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1331676315 42.400371976)
1 FORT WASHINGTON PL,5,96-131,96,131,1603,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1070538194 42.3564975837)
100 OTIS ST,1,25-33,25,33,4100,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.0826028578 42.3704474042)
129 HANCOCK ST,6,116-30,116,30,5507,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1075124453 42.3697785206)
10 GARDEN TER,9,227-39,227,39,8435,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1281755783 42.3821417253)
68-72 HOWARD ST,7,123-52,123,52,3600,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1107271544 42.3661920172)
44A SACRAMENTO ST,8,150-105,150,105,4201,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1152931636 42.3823752413)
838 MAIN ST,4,70-10,70,10,4920,390,Vacant,COM-DEV-LAND,0,,,,,,POINT (-71.0980751041 42.36308714740001)
6 WRIGHT ST,9,174-17,174,17,5165,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1210447112 42.3822968059)
6 CHETWYND RD,9,205-76,205,76,3985,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1287186166 42.3864939079)
49R TROWBRIDGE ST,6,135-113,135,113,7500,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1118454944 42.3728920349)
21 MADISON AVE,11,188-63,188,63,4000,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1358499021 42.3997981551)
4 COOLIDGE HILL RD,10,242A-142,242A,142,7650,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1380717115 42.3743920007)
255 LAKEVIEW AVE,10,234-197,234,197,5010,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1406861377 42.3835369323)
10 FAYERWEATHER ST,10,238-55,238,55,13165,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1371350904 42.3775887222)
226 HURLEY ST,1,17-91,17,91,7005,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.0816104172 42.3682289186)
106-108 FIFTH ST,1,25-113,25,113,1564,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0833464053 42.3697535767)
57 FRESH POND LN,10,251-214,251,214,8149,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1445580518 42.3782347855)
59-65 JAY ST,7,123-27,123,27,6580,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1103868228 42.3663993043)
137 LARCH RD,10,247-128,247,128,6219,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1429042062 42.3796150039)
72 RAYMOND ST,9,207-63,207,63,8316,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1264549553 42.3851340167)
783 MAIN ST,4,74-8,74,8,3335,326,Commercial,EATING-ESTBL,0,,,,,,POINT (-71.0968533223 42.3634502464)
18 FAINWOOD CIR,6,113-62,113,62,4307,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.103467782 42.3732147374)
377 PUTNAM AVE,5,128-65,128,65,3786,390,Vacant,COM-DEV-LAND,0,,,,,,POINT (-71.114052764 42.3606430189)
11 SHADY HILL SQ,8,146A-143,146A,143,3940,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1085286648 42.3792429714)
28 CORPORAL BURNS RD,9,261-159,261,159,4800,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1372360583 42.3862673797)
5 LEONARD AVE,6,111-9,111,9,3690,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1055151446 42.3751077391)
67 DANA ST,6,139-95,139,95,7350,111,Residential,4-8-UNIT-APT,7,,,,true,,POINT (-71.1080678706 42.3734948526)
60-62 MAGNOLIA AVE,6,141-49,141,49,2380,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1060464782 42.3767768466)
34 SECOND ST,1,18-54,18,54,1417,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0785398732 42.3702457979)
91 LARCH RD,10,247-224,247,224,6130,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1424194873 42.3785445387)
106-108 SECOND ST,1,10-32,10,32,19995,112,Residential,>8-UNIT-APT,32,,,,,,POINT (-71.0790254328 42.3677796002)
107 INMAN ST,6,114A-75,114A,75,2502,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1016186653 42.3723578884)
89 OXFORD AVE,13,256-7,256,7,4265,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1549256432 42.3786333192)
4 BROADWAY TER,6,108-93,108,93,740,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1044852576 42.3701103886)
133 PEARL ST,5,103-36,103,36,3400,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1062551198 42.361600820700005)
55 WASHBURN AVE,11,184-44,184,44,8724,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1309126889 42.4001888558)
50 HASKELL ST,11,198-100,198,100,5314,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1272800022 42.3918913485)
166A ELM ST N,11,180-73,180,73,1523,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1201798576 42.3919494895)
1607 MASSACHUSETTS AVE,8,157-26,157,26,8377,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1195520619 42.3801654257)
12 GOLD STAR RD,11,184-110,184,110,2307,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1308747863 42.3985075232)
39 HARDING ST,3,36-35,36,35,1800,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0905548096 42.373736442500004)
20R REED ST,11,193-173,193,173,2800,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1325025202 42.3940081901)
22 GARDEN ST,10,216-36,216,36,7368,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1236750314 42.3778223511)
66-68 OTIS ST,1,24-140,24,140,6000,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.0808110657 42.3702226832)
184 THIRD ST,1,17-85,17,85,1932,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.0806160365 42.367946328)
163 WEBSTER AVE,3,78-78,78,78,3128,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0932972495 42.3704006432)
3 SALEM ST,5,93-6,93,6,5175,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1042330311 42.3628317905)
23 SACRAMENTO ST,8,155-24,155,24,4206,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1173046718 42.3827790712)
231 CONCORD AVE,9,229-67,229,67,5000,013,Residential w/ Commercial,MULTIUSE-RES,1,mixed,,,true,,POINT (-71.13186301230002 42.3830563518)
17 LONGFELLOW RD,10,239-32,239,32,4725,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1346283172 42.3755306643)
19 COTTAGE PARK AVE,11,189-39,189,39,4520,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1335637295 42.3989937802)
337 WALDEN ST,9,262-96,262,96,5518,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1335432524 42.3846990025)
35 WOOD ST,9,204-132,204,132,4522,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1295309376 42.387857321)
31 MAPLE AVE,6,112-61,112,61,7466,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.104487037 42.3732511583)
35 LANDSDOWNE ST,5,69-179,69,179,41283,406,Office/R&D,HIGH-TECH,0,,,,,,POINT (-71.1000666393 42.3611356913)
265 SIDNEY ST,5,96-16,96,16,3170,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1074326984 42.356233764)
133-135 CHESTNUT ST,5,97-13,97,13,5600,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.109906442 42.3575178459)
1 HIGHLAND ST,10,231-3,231,3,17857,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1317998466 42.3796401192)
74 THORNDIKE ST,1,24-43,24,43,4500,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.0812891825 42.3695785196)
6 GARDEN TER,9,227-40,227,40,8842,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1278330209 42.3822983938)
500R GREEN ST,7,119-111,119,111,1884,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1089126928 42.3672008065)
77 AVON HILL ST,9,209-20,209,20,6721,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1250562652 42.3854187073)
36 LARCH RD,10,250-223,250,223,11486,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1424480527 42.376844237)
60 MARTIN ST,9,174-5,174,5,4512,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1217242795 42.382543681)
20 PRESCOTT ST,6,136-13,136,13,14853,112,Residential,>8-UNIT-APT,39,,,,,,POINT (-71.1134889919 42.3735332367)
98 OTIS ST,1,25-125,25,125,2522,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0824746574 42.3704542619)
261 UPLAND RD,9,206-54,206,54,3528,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.128604841 42.3854646762)
43 LEXINGTON AVE,10,235-3,235,3,10524,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1397389465 42.377387012700005)
104 ELLERY ST,6,139-89,139,89,3824,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1084854264 42.3741957357)
43 COLUMBIA ST,4,91-20,91,20,4565,960,Charitable/Religious,Religious,1,,,,,Religious NonTax,POINT (-71.0994733645 42.3646584207)
191 PROSPECT ST,6,109-44,109,44,20823,112,Residential,>8-UNIT-APT,30,,,,,,POINT (-71.1008396905 42.37020742330001)
189 HAMPSHIRE ST,3,84-100,84,100,5600,337,Transportation,PARKING-LOT,0,,,,,,POINT (-71.0993247506 42.3729256469)
31 BREWSTER ST,10,223-62,223,62,2371,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1321867231 42.3787676155)
40 KIRKLAND ST,6,142-20,142,20,8120,9421,Education Residential,Private College Res Units,1,,,true,,Educ NonTax,POINT (-71.1121606327 42.3768139648)
36 LARCHWOOD DR,10,251-226,251,226,11268,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.144622278 42.376447631000005)
150 THORNDIKE ST,1,25-85,25,85,2575,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0849690818 42.3701262704)
6-8 WATSON ST,5,94-171,94,171,2971,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1040179113 42.3617505626)
70-1 KIRKLAND ST,6,142-146,142,146,3065,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1098586505 42.377394161)
172 HANCOCK ST,6,115-22,115,22,5621,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1062076187 42.3707393031)
38 RUSSELL ST,11,180-12,180,12,6409,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.121736063 42.3929255737)
109 ELLERY ST,6,138-7,138,7,3071,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1087877085 42.3744340289)
158 RIVER ST,5,125-70,125,70,2342,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1094871843 42.3634611927)
190 SHERMAN ST,11,194-22,194,22,4750,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1325858225 42.3926775257)
339 CONCORD AVE,9,262-125,262,125,5315,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1354865918 42.384717115300006)
103 HARVEY ST,11,190-281,190,281,2077,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1335115899 42.3977416973)
29 APPLETON ST,10,238-76,238,76,1920,132,Vacant,RES-UDV-LAND,0,,,,,,POINT (-71.1338914156 42.3783343436)
202 ELM ST N,11,180-61,180,61,3873,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1209315011 42.3933562584)
18 LOPEZ ST,5,94-53,94,53,2500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1047398043 42.3612607301)
10 SALEM ST,5,93-12,93,12,2560,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1041715486 42.3624811948)
14-16 HARDWICK ST,3,39-62,39,62,3494,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0904173453 42.3696302339)
454 BROADWAY,6,135-2,135,2,19365,934,Education,Public Schools,0,,,,,City NonTax,POINT (-71.1119348552 42.3733073807)
25 HURON AVE,9,206-85,206,85,4601,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1273456482 42.3851880771)
17 ROCKWELL ST,5,127-107,127,107,3270,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1110830713 42.3626907738)
12-14 GLENWOOD AVE,5,99-10,99,10,5000,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1120623338 42.3566173552)
158 PLEASANT ST,5,101-179,101,179,1544,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1130001129 42.3596957227)
55 CLAY ST,11,193-109,193,109,12000,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1339109127 42.39509467610001)
10 CLEVELAND ST,6,135-64,135,64,2875,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1096151861 42.3714953265)
16 PRENTISS ST,8,154-83,154,83,3922,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1182258338 42.3842287869)
19-21 GARDEN ST,9,172-46,172,46,10682,112,Residential,>8-UNIT-APT,55,,,,,,POINT (-71.1230234325 42.3778193118)
117 CHARLES ST,1,17-89,17,89,8134,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.0813900715 42.3679255614)
209 MONSIGNOR OBRIEN HWY,1,7-41,7,41,6008,337,Transportation,PARKING-LOT,0,,,,,,POINT (-71.0792696707 42.372700631)
143 HARVEY ST,11,190-250,190,250,2263,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1346868817 42.397570666)
1 ARNOLD CIR,6,117-25,117,25,1291,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1080251503 42.3684156667)
65 LARCHWOOD DR,10,251-126,251,126,7897,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1456389402 42.3777889587)
90 BRATTLE ST,10,167-3,167,3,10196,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1247910414 42.3758015295)
16 MEACHAM RD,11,182-59,182,59,5600,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1265987371 42.3954460535)
318 HARVARD ST,6,116-29,116,29,5536,101,Residential,SNGL-FAM-RES,2,,,,,,POINT (-71.1072303715 42.3699480513)
274 GARDEN ST,9,262-1,262,1,5096,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1361047733 42.3861848912)
42 PINE ST,4,75-70,75,70,10236,957,Charitable/Religious,Charitable Services,0,,,,,Other NonTax,POINT (-71.0978021426 42.3647486884)
109 RIVER ST,7,125-132,125,132,5001,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.1084508507 42.3643428511)
46 MASSACHUSETTS AVE,2,58-162,58,162,16488,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.0936855732 42.3585792901)
4 ST PAUL ST,6,107-48,107,48,2613,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1028502355 42.3674303043)
170 FAYERWEATHER ST,9,262-83,262,83,4716,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.134987134 42.3851929373)
12 REGENT ST,11,178-16,178,16,3428,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1216596437 42.3900666411)
376 CAMBRIDGE ST,1,23-84,23,84,10000,031,Commerical w/ Residential,MULTIUSE-COM,2,mixed,,,,,POINT (-71.082373332 42.3711226124)
288 COLUMBIA ST,3,79-99,79,99,4479,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0957864966 42.3701070688)
57-59 HENRY ST,5,65-12,65,12,6272,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1086086616 42.35568606630001)
15 VANDINE ST,3,40-192,40,192,2048,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.0908984644 42.3691394226)
328 HURON AVE,10,237-32,237,32,3253,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1372014123 42.3811370045)
991 MASSACHUSETTS AVE,6,116-68,116,68,5000,0112,Residential Ground Floor Comm,MXD >8-UNIT-APT,17,groundfloor,,,,,POINT (-71.1109212188 42.3694841741)
6 EIGHTH ST,1,34-38,34,38,1800,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0860251342 42.3714478665)
1 KIMBALL LN,11,196-147,196,147,3000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1288595711 42.3940987508)
248 CONCORD AVE,10,230-44,230,44,4100,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1326832756 42.3829808641)
